Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Accrington,1.15,1.50,2.65,,0.53,1.74,2.26,,0.85,1.62,2.46,39
Barnsley,2.16,0.95,3.11,,1.30,0.90,2.20,,1.72,0.92,2.64,39
Bolton,1.47,0.58,2.05,,1.25,1.00,2.25,,1.36,0.79,2.15,39
Bristol Rovers,1.15,1.50,2.65,,1.56,1.67,3.22,,1.34,1.58,2.92,38
Burton Albion,1.21,1.58,2.79,,1.37,2.16,3.53,,1.29,1.87,3.16,38
Cambridge Utd,0.95,1.20,2.15,,0.68,1.89,2.58,,0.82,1.54,2.36,39
Charlton,1.80,1.20,3.00,,1.15,1.35,2.50,,1.48,1.28,2.75,40
Cheltenham,0.95,1.15,2.10,,0.75,1.40,2.15,,0.85,1.28,2.13,40
Derby County,1.85,0.90,2.75,,1.20,1.15,2.35,,1.53,1.03,2.55,40
Exeter City,1.60,1.10,2.70,,1.30,1.50,2.80,,1.45,1.30,2.75,40
Fleetwood,1.05,1.05,2.10,,1.15,1.10,2.25,,1.10,1.08,2.18,40
Forest Green,0.70,1.70,2.40,,0.75,2.00,2.75,,0.73,1.85,2.58,40
Ipswich Town,2.30,0.60,2.90,,1.68,1.00,2.68,,2.00,0.79,2.79,39
Lincoln City,0.95,0.74,1.68,,0.95,1.35,2.30,,0.95,1.05,2.00,39
Milton Keynes,0.70,1.30,2.00,,1.15,1.55,2.70,,0.93,1.43,2.35,40
Morecambe,1.24,1.38,2.62,,0.60,2.10,2.70,,0.93,1.73,2.66,41
Oxford Utd,1.21,1.42,2.63,,0.85,1.15,2.00,,1.03,1.28,2.31,39
Peterborough,1.75,1.05,2.80,,1.65,1.30,2.95,,1.70,1.18,2.88,40
Plymouth,2.00,0.68,2.68,,1.60,1.45,3.05,,1.79,1.08,2.87,39
Port Vale,1.00,1.35,2.35,,1.00,1.65,2.65,,1.00,1.50,2.50,40
Portsmouth,1.55,1.00,2.55,,1.20,1.25,2.45,,1.38,1.13,2.50,40
Sheffield Wed,2.15,0.75,2.90,,1.25,0.85,2.10,,1.70,0.80,2.50,40
Shrewsbury,1.47,1.32,2.79,,0.95,1.25,2.20,,1.21,1.28,2.49,39
Wycombe,1.50,0.95,2.45,,1.15,1.15,2.30,,1.33,1.05,2.38,40
